x y z
0.827015643 0.241061729 1
0.839918047 0.231485555 1
0.829681547 0.223756655 1
0.805775129 0.210689169 1
0.8023292 0.191369329 1
0.830945835 0.233966162 1
0.816494052 0.217733436 1
0.829011806 0.232756009 1
0.816109834 0.201367555 1
0.836285889 0.241667592 1
0.836077681 0.231088575 1
0.813728651 0.213318536 1
0.819933985 0.229973268 1
0.808827133 0.213161709 1
0.835823219 0.272926692 1
0.833031312 0.224756438 1
0.830133219 0.226133211 1
0.839395398 0.255032132 1
0.824091798 0.239340335 1
0.824304046 0.188299965 1
0.826767443 0.181507614 1
0.837064778 0.186001484 1
0.821484497 0.179125075 1
0.808958137 0.17219636 1
0.803108254 0.179865018 1
0.832649685 0.183937744 1
0.816985761 0.181884068 1
0.829180247 0.198421391 1
0.822461314 0.188855073 1
0.836425776 0.207246513 1
0.83147949 0.191230991 1
0.8152019 0.187427047 1
0.818557945 0.194969398 1
0.801719569 0.16415788 1
0.823633185 0.216736327 1
0.824600356 0.191640867 1
0.814161648 0.158306592 1
0.828309669 0.181285594 1
0.813342053 0.184824194 1
0.823180069 0.199324097 1
0.825274174 0.191909212 1
0.838014777 0.190927054 1
0.82450493 0.183051136 1
0.805685827 0.168614441 1
0.80450008 0.180548356 1
0.834889787 0.194109198 1
0.814220538 0.178708123 1
0.829414059 0.20147826 1
0.823885748 0.176748777 1
0.836916422 0.21202844 1
0.832466817 0.193787858 1
0.815164895 0.176060591 1
0.81937023 0.193690121 1
0.803808471 0.163061845 1
0.82580501 0.224404802 1
0.827054016 0.1916512 1
0.819330613 0.168662202 1
0.82830755 0.194278361 1
0.816301447 0.189539262 1
0.822199977 0.195695239 1
0.828985038 0.196580639 1
0.84089197 0.2121542 1
0.826105662 0.198632584 1
0.816075801 0.182748212 1
0.808421311 0.195898495 1
0.830780532 0.19320638 1
0.821982805 0.197318531 1
0.833811014 0.215756593 1
0.829988343 0.207321321 1
0.839885079 0.214663932 1
0.842416824 0.201534791 1
0.822652967 0.202251759 1
0.819142885 0.196241665 1
0.820551407 0.192242762 1
0.832791875 0.234149184 1
0.833150602 0.195502805 1
0.826508291 0.190148473 1
0.833544259 0.211637909 1
0.82631545 0.19911931 1
0.833054963 0.206432198 1
0.823975363 0.156427413 1
0.837431586 0.172823358 1
0.82661446 0.163565555 1
0.820946339 0.17207677 1
0.800991208 0.157368766 1
0.827177387 0.163872244 1
0.829415752 0.193771208 1
0.840557676 0.191505525 1
0.824880945 0.169538275 1
0.845787898 0.201537491 1
0.829446896 0.162326149 1
0.819981827 0.149997838 1
0.820945052 0.176786641 1
0.813480988 0.156821662 1
0.82875258 0.209612769 1
0.827566693 0.197041638 1
0.825329742 0.170053576 1
0.835063533 0.171674544 1
0.825296762 0.181866731 1
0.825747949 0.163398755 1
0.823248117 0.156898449 1
0.836841479 0.181150289 1
0.822440905 0.160638531 1
0.817827589 0.165325325 1
0.803186647 0.154342733 1
0.834004935 0.157966373 1
0.823730335 0.183769171 1
0.835969627 0.186098202 1
0.821433009 0.166212095 1
0.842945045 0.204690483 1
0.832804302 0.167426544 1
0.815958021 0.152800254 1
0.820907709 0.172988249 1
0.812216616 0.156131459 1
0.837073425 0.209457344 1
0.832128875 0.183751432 1
0.82536407 0.173065039 1
0.835328229 0.182244173 1
0.824564484 0.18220985 1
0.829144138 0.161905035 1
0.816943367 0.174296807 1
0.833672238 0.190383031 1
0.817951903 0.175024781 1
0.813089012 0.189924256 1
0.811653758 0.189532309 1
0.828318535 0.211212862 1
0.811425397 0.183208213 1
0.832521391 0.225470214 1
0.813645092 0.193423857 1
0.82469077 0.180132266 1
0.824178289 0.177380256 1
0.816568116 0.189182576 1
0.817849723 0.192436458 1
0.803563743 0.174677029 1
0.819129656 0.207165872 1
0.818889931 0.180837026 1
0.813938669 0.176637552 1
0.828414644 0.207928591 1
0.8169156 0.196338648 1
0.826921863 0.209779281 1
0.818487976 0.14745293 1
0.824166745 0.158354822 1
0.828517164 0.160938124 1
0.82390775 0.161669548 1
0.798971665 0.143765297 1
0.827774424 0.154684704 1
0.824786557 0.170429038 1
0.816309757 0.166670212 1
0.824137828 0.164817099 1
0.833666817 0.18273822 1
0.829269991 0.137312268 1
0.822300089 0.134728421 1
0.814881772 0.155918689 1
0.813059992 0.136810604 1
0.822864897 0.178077053 1
0.831392707 0.180650873 1
0.820829895 0.151774963 1
0.823950813 0.171350812 1
0.812765275 0.143471773 1
0.815202893 0.141214497 1
0.815490437 0.146284973 1
0.826711608 0.157166907 1
0.821576155 0.15364146 1
0.822174056 0.166289389 1
0.803455144 0.143328762 1
0.834201343 0.153877977 1
0.817529958 0.168114896 1
0.823967848 0.163296295 1
0.814960674 0.160352935 1
0.833289693 0.181245194 1
0.821883742 0.141736755 1
0.819022372 0.138593076 1
0.81506129 0.163906332 1
0.805524044 0.136784524 1
0.823900623 0.180232344 1
0.826905718 0.189670702 1
0.819387446 0.154062234 1
0.825365907 0.175292177 1
0.814216364 0.161068195 1
0.822139517 0.152896399 1
0.809175845 0.200248423 1
0.818125141 0.192008431 1
0.807669823 0.150378666 1
0.800128818 0.167920234 1
0.803590013 0.177026748 1
0.810379188 0.154989431 1
0.804201565 0.141160764 1
0.83110616 0.213597225 1
0.817107305 0.220640285 1
0.814073261 0.161271047 1
0.813373326 0.165376548 1
0.807144817 0.170047378 1
0.813227384 0.17500356 1
0.798738713 0.159615237 1
0.808645738 0.184703087 1
0.808648159 0.171720276 1
0.811469757 0.177214958 1
0.811556739 0.169562046 1
0.814644017 0.185832256 1
0.825826759 0.214371143 1
0.80688696 0.13621491 1
0.813795777 0.142795355 1
0.81433243 0.141327514 1
0.805447961 0.149689037 1
0.801921657 0.137440124 1
0.826304363 0.156566869 1
0.809018643 0.136875165 1
0.815861907 0.160240338 1
0.820421126 0.159521615 1
0.820823722 0.173974519 1
0.819572808 0.135258182 1
0.802805216 0.100567431 1
0.807041399 0.14116193 1
0.804482708 0.116252148 1
0.809817209 0.171867183 1
0.82061578 0.159235165 1
0.811782118 0.146694109 1
0.817321004 0.169459248 1
0.79754558 0.112551201 1
0.804097371 0.137110508 1
0.807853341 0.148301135 1
0.811296526 0.148011489 1
0.800758004 0.126176506 1
0.807957659 0.153211764 1
0.799630008 0.136267691 1
0.819129471 0.149833432 1
0.803290272 0.131027639 1
0.820131898 0.167218161 1
0.815005134 0.164519659 1
0.828048036 0.156168472 1
0.8134702 0.126549003 1
0.803007535 0.105794081 1
0.812207081 0.146186189 1
0.805185124 0.117533578 1
0.808457813 0.166651326 1
0.817669404 0.153772185 1
0.810030394 0.145423891 1
0.82232423 0.160258055 1
0.800455709 0.118574931 1
0.815335962 0.13957149 1
