r h1 h2
1.6700000000 0.0144638018 0.0002042778
1.6800000000 0.0133810204 0.0008087995
1.6900000000 0.0125417548 0.0000368288
1.7000000000 0.0133271782 -0.0001796898
1.7100000000 0.0136751847 0.0010483466
1.7200000000 0.0127920185 0.0005844306
1.7300000000 0.0138292966 0.0007172704
1.7400000000 0.0147730311 0.0003332945
1.7500000000 0.0138933181 0.0012960208
1.7600000000 0.0130922395 0.0015986672
1.7700000000 0.0125535341 0.0022813907
1.7800000000 0.0126072476 0.0022897512
1.7900000000 0.0127127440 0.0033390486
1.8000000000 0.0115425329 0.0027662860
1.8100000000 0.0114592083 0.0041177438
1.8200000000 0.0107797586 0.0035703601
1.8300000000 0.0114455496 0.0039913164
1.8400000000 0.0112537692 0.0042113573
1.8500000000 0.0111351372 0.0042706949
1.8600000000 0.0111874903 0.0047618765
1.8700000000 0.0111591613 0.0038907063
1.8800000000 0.0105297221 0.0034929362
1.8900000000 0.0098862771 0.0029903492
1.9000000000 0.0100637160 0.0031108998
1.9100000000 0.0096720259 0.0028924321
1.9200000000 0.0097768041 0.0034048922
1.9300000000 0.0097915924 0.0033490767
1.9400000000 0.0091805335 0.0031230622
1.9500000000 0.0090023292 0.0030426890
1.9600000000 0.0096808102 0.0029941816
1.9700000000 0.0090671976 0.0027246200
1.9800000000 0.0089470609 0.0031642608
1.9900000000 0.0089214937 0.0027638729
2.0000000000 0.0092027574 0.0029930586
2.0100000000 0.0085893325 0.0025254537
2.0200000000 0.0090082253 0.0012648751
2.0300000000 0.0092129145 0.0005118636
2.0400000000 0.0099114077 0.0009313165
2.0500000000 0.0088729565 0.0013705190
2.0600000000 0.0077896762 0.0004019846
2.0700000000 0.0077965689 0.0006005692
2.0800000000 0.0081035067 0.0009107086
2.0900000000 0.0072216138 0.0012959032
2.1000000000 0.0063675935 0.0016074345
2.1100000000 0.0069908804 0.0012159275
2.1200000000 0.0069861444 0.0015059652
2.1300000000 0.0065526275 0.0017410280
2.1400000000 0.0076979981 0.0032153609
2.1500000000 0.0068378913 0.0024760513
2.1600000000 0.0067757304 0.0026280129
2.1700000000 0.0060297645 0.0033575574
2.1800000000 0.0059333913 0.0032309349
2.1900000000 0.0054035219 0.0023265844
2.2000000000 0.0048624057 0.0027597194
2.2100000000 0.0044807370 0.0034016804
2.2200000000 0.0043522352 0.0025875195
2.2300000000 0.0039229395 0.0025644488
2.2400000000 0.0036652479 0.0029861861
2.2500000000 0.0036525125 0.0018084841
2.2600000000 0.0032400531 0.0024150814
2.2700000000 0.0037495595 0.0023481315
2.2800000000 0.0033389669 0.0025398355
2.2900000000 0.0035749090 0.0032398613
2.3000000000 0.0038811163 0.0030608532
2.3100000000 0.0038010653 0.0019179664
2.3200000000 0.0041353783 0.0024473487
2.3300000000 0.0048466982 0.0028938705
2.3400000000 0.0039699675 0.0026933025
2.3500000000 0.0039577889 0.0033520944
2.3600000000 0.0042034533 0.0043758698
2.3700000000 0.0031766038 0.0050017109
2.3800000000 0.0035993055 0.0047488267
2.3900000000 0.0047850515 0.0041055256
2.4000000000 0.0041796418 0.0032302492
2.4100000000 0.0034995247 0.0029317784
2.4200000000 0.0031033173 0.0032517449
2.4300000000 0.0035288452 0.0029881670
2.4400000000 0.0045384098 0.0034483139
2.4500000000 0.0038825901 0.0035630088
2.4600000000 0.0028848057 0.0046099188
2.4700000000 0.0026877836 0.0044143627
2.4800000000 0.0030942423 0.0042557509
2.4900000000 0.0025137481 0.0033819827
2.5000000000 0.0032604897 0.0040678294
2.5100000000 0.0033275431 0.0039998823
2.5200000000 0.0026138006 0.0033323485
2.5300000000 0.0043990790 0.0025873463
2.5400000000 0.0049744116 0.0035888821
2.5500000000 0.0043727174 0.0038758967
2.5600000000 0.0031087075 0.0044656127
2.5700000000 0.0019726216 0.0045887509
2.5800000000 0.0013954409 0.0049960085
2.5900000000 0.0018204592 0.0045090679
2.6000000000 0.0016245424 0.0040978628
2.6100000000 0.0023112457 0.0041664277
2.6200000000 0.0026435102 0.0035388882
2.6300000000 0.0032861555 0.0042803212
2.6400000000 0.0022081051 0.0033419995
2.6500000000 0.0019723944 0.0040687783
2.6600000000 0.0028422866 0.0041404751
2.6700000000 0.0028742008 0.0045747026
2.6800000000 0.0040482556 0.0039408368
2.6900000000 0.0019618194 0.0021874865
2.7000000000 0.0028822905 0.0031589554
2.7100000000 0.0032958775 0.0027121352
2.7200000000 0.0026028778 0.0021461540
2.7300000000 0.0013320872 0.0024898128
2.7400000000 0.0017130791 0.0027754101
2.7500000000 0.0022488513 0.0041788823
2.7600000000 0.0020317887 0.0039736521
2.7700000000 0.0027307638 0.0045001226
2.7800000000 0.0025857814 0.0040326458
2.7900000000 0.0024855792 0.0035653856
2.8000000000 0.0020596429 0.0022955062
2.8100000000 0.0016632007 0.0018217294
2.8200000000 0.0008599223 0.0024597077
2.8300000000 0.0016348853 0.0029718382
2.8400000000 0.0016576028 0.0022650885
2.8500000000 0.0013250441 0.0026840859
2.8600000000 0.0017813726 0.0023802295
2.8700000000 0.0019394913 0.0032067348
2.8800000000 0.0024559831 0.0025777972
2.8900000000 0.0025042397 0.0016726876
2.9000000000 0.0028213149 0.0020875965
2.9100000000 0.0017797913 0.0023871228
2.9200000000 0.0012755312 0.0019886154
2.9300000000 0.0019188611 0.0022011100
2.9400000000 0.0014871691 0.0020559442
2.9500000000 0.0017973607 0.0019753636
2.9600000000 0.0033857868 0.0020038202
2.9700000000 0.0038807758 0.0027397717
2.9800000000 0.0038186363 0.0022330116
2.9900000000 0.0037306374 0.0027046192
3.0000000000 0.0040943000 0.0031941176
3.0100000000 0.0041864943 0.0032391015
3.0200000000 0.0050989756 0.0029110108
3.0300000000 0.0060892533 0.0029202325
3.0400000000 0.0062018674 0.0030292852
3.0500000000 0.0059522239 0.0022957460
3.0600000000 0.0048552876 0.0020676044
