x y z
0.48782079 0.161812824 4
0.447266508 0.1359995 4
0.558803292 0.169154145 4
0.552232254 0.169668051 4
0.505282316 0.158293309 4
0.472922417 0.150284184 4
0.572959951 0.179845793 4
0.552755612 0.150592686 4
0.501945427 0.146979361 4
0.487677293 0.141273285 4
0.566590876 0.167877363 4
0.519500612 0.160767703 4
0.47813839 0.152522969 4
0.45296075 0.134249148 4
0.55862959 0.166597221 4
0.512918667 0.1687391 4
0.470453749 0.140838789 4
0.479941143 0.147155817 4
0.558738133 0.157179053 4
0.515942365 0.170453192 4
0.466823355 0.146880583 4
0.434706962 0.134327525 4
0.539764535 0.17060766 4
0.529145991 0.155121893 4
0.507986182 0.152476131 4
0.47384993 0.150792665 4
0.565177578 0.184635969 4
0.522644061 0.158003019 4
0.458951322 0.128064868 4
0.454733968 0.164810618 4
0.557546808 0.191448889 4
0.535400037 0.171628345 4
0.471267314 0.153295274 4
0.477137501 0.15374697 4
0.571787245 0.182441006 4
0.531913233 0.153126225 4
0.470009865 0.130791461 4
0.481824776 0.154151831 4
0.585723255 0.196837051 4
0.534232029 0.177676515 4
0.483998024 0.16138737 4
0.456718992 0.137476217 4
0.540414726 0.159202765 4
0.552909226 0.174208806 4
0.495099095 0.148210866 4
0.467569237 0.145015315 4
0.552932329 0.16983793 4
0.562246073 0.153583059 4
0.501846092 0.129809508 4
0.460504929 0.136684382 4
0.529404613 0.159626459 4
0.508975359 0.142365644 4
0.446589353 0.128330943 4
0.427132269 0.138881302 4
0.534948678 0.166218602 4
0.520043738 0.161653365 4
0.472165991 0.137851998 4
0.469297119 0.164735461 4
0.557115372 0.19843839 4
0.531613696 0.163753553 4
0.47978103 0.145703915 4
0.452168705 0.130766066 4
0.554823889 0.166227743 4
0.542177476 0.156876921 4
0.490070849 0.156150736 4
0.465470471 0.117358212 4
0.560512175 0.137420209 4
0.505927161 0.150507533 4
0.432633806 0.124286325 4
0.447544085 0.154273311 4
0.55904499 0.181936518 4
0.511596146 0.160707716 4
0.469574331 0.143916402 4
0.488998269 0.136643327 4
0.567678975 0.16609115 4
0.514246258 0.13087628 4
0.467459107 0.119412557 4
0.43599004 0.131434889 4
0.550477921 0.16164279 4
0.359307164 0.118540915 4
0.364373185 0.103163955 4
0.493864699 0.136032535 4
0.410750736 0.143525649 4
0.314119117 0.099953969 4
0.336085159 0.095282974 4
0.472717637 0.144382462 4
0.448005537 0.123126561 4
0.377559009 0.093126466 4
0.333093316 0.103518509 4
0.473323777 0.149870371 4
0.419816672 0.141867606 4
0.33733518 0.117050914 4
0.318682836 0.071646511 4
0.473197597 0.127144978 4
0.456309128 0.156923875 4
0.363732677 0.125402757 4
0.316293128 0.097909547 4
0.438767261 0.133573147 4
0.380237745 0.133450645 4
0.281031655 0.096642013 4
0.281542233 0.089679601 4
0.454466562 0.135496504 4
0.417797929 0.131548537 4
0.34639795 0.095448967 4
0.325158085 0.093700482 4
0.462851496 0.136712095 4
0.456246455 0.136234748 4
0.371329208 0.113171251 4
0.34122242 0.124366688 4
0.486473509 0.170318211 4
0.428635752 0.145750675 4
0.339405859 0.113994919 4
0.350515495 0.11385677 4
0.507189909 0.161388743 4
0.432921296 0.11572679 4
0.329165894 0.0761776 4
0.337299852 0.114082163 4
0.493881514 0.167629498 4
0.431922426 0.125405054 4
0.341097059 0.106159392 4
0.314470667 0.086903792 4
0.452093009 0.125281199 4
0.437576804 0.144241689 4
0.366693147 0.110291726 4
0.361180994 0.091932344 4
