x z1 z2 p1 p2 r1 r2
1.0300000000 0.2573564195 0.1882689866 0.1837716941 0.0830512067 3.7677228432 0.9361044314
1.0400000000 0.2213442415 0.1723797575 0.2222842664 0.1034679267 3.9232937635 1.0255530698
1.0500000000 0.2065326631 0.1685263358 0.2986826105 0.1396360733 4.1020630164 1.1305848766
1.0600000000 0.1946967655 0.1637423352 0.3475605503 0.1637393890 4.1790207436 1.1318593718
1.0700000000 0.1548997880 0.1413010219 0.3625482028 0.1785608144 4.1224129990 1.0065332418
1.0800000000 0.1019186879 0.1130273873 0.3878532533 0.1977868363 4.0362281450 0.8617077306
1.0900000000 0.0730456813 0.1001578972 0.4286143721 0.2216183477 4.0015031586 0.7755992835
1.1000000000 0.0617873147 0.0954216116 0.4574763763 0.2378174563 3.9961525803 0.7241143043
1.1100000000 0.0454384203 0.0858118285 0.4616395133 0.2446141219 3.9625601809 0.6509709406
1.1200000000 0.0292457517 0.0761693763 0.4743915037 0.2534578881 3.9572153834 0.6121682375
1.1300000000 0.0432036067 0.0846175171 0.4799003621 0.2566870920 3.9839433082 0.6078406513
1.1400000000 0.0703946640 0.0980417184 0.4482095403 0.2444399440 3.9640214258 0.5617806205
1.1500000000 0.0819418204 0.1017657244 0.3990177614 0.2258123310 3.9081249647 0.4865406327
1.1600000000 0.0846524731 0.1018452462 0.3766792134 0.2150773038 3.8288770749 0.3954714339
1.1700000000 0.0961161071 0.1094084472 0.4145846101 0.2215148384 3.7507933810 0.3129660597
1.1800000000 0.0860715077 0.1041662594 0.4667768084 0.2253830476 3.7431596195 0.3042271443
1.1900000000 0.0460807773 0.0850352491 0.5109952901 0.2237798484 3.7925922854 0.3510497873
1.2000000000 0.0170536449 0.0756809496 0.5742955696 0.2270021021 3.8809158727 0.4332063557
1.2100000000 -0.0041588060 0.0711856179 0.6128502250 0.2190831692 3.9333434417 0.4757627226
1.2200000000 -0.0322915282 0.0622076144 0.6156865807 0.1999422067 3.8847611913 0.4200815141
