x y z
0.700938621 0.164051422 5
0.765326607 0.182365642 5
0.763444281 0.147423728 5
0.716743022 0.147005225 5
0.783435633 0.165816779 5
0.765392831 0.151807404 5
0.716372246 0.159390184 5
0.796696587 0.191376961 5
0.759378563 0.160167364 5
0.702463164 0.128028275 5
0.759971442 0.17919957 5
0.745233666 0.150922329 5
0.693040318 0.1202953 5
0.758142425 0.150718983 5
0.751380873 0.178001914 5
0.687949857 0.126075557 5
0.768943483 0.184526104 5
0.76170679 0.157347114 5
0.700617861 0.121723726 5
0.756842655 0.151146051 5
0.75985189 0.158840176 5
0.724054804 0.148139404 5
0.787631408 0.182020786 5
0.764882547 0.163405919 5
0.707172593 0.145360693 5
0.779718154 0.17943 5
0.741702284 0.13786169 5
0.703040311 0.126626866 5
0.774779819 0.188356906 5
0.760888761 0.164888951 5
0.702913864 0.139556978 5
0.771919681 0.162663248 5
0.753005573 0.153034637 5
0.690533999 0.128650967 5
0.76459198 0.153807547 5
0.76648335 0.150630351 5
0.722595946 0.132361647 5
0.78267828 0.179826612 5
0.768682908 0.168418584 5
0.713643607 0.141517493 5
0.764908723 0.170344019 5
0.738589988 0.134833443 5
0.693666463 0.119230628 5
0.787731907 0.196531146 5
0.77596694 0.175178864 5
0.727009338 0.137729994 5
0.776362669 0.169928502 5
0.761165577 0.159949762 5
0.711384477 0.135357323 5
0.764846537 0.157673986 5
0.771248288 0.16332534 5
0.7105529 0.134035262 5
0.777923453 0.171438246 5
0.759661473 0.170747115 5
0.715801013 0.132103899 5
0.770203148 0.161964444 5
0.749346692 0.146249787 5
0.702999512 0.11487079 5
0.760769969 0.133281732 5
0.737402745 0.146545889 5
0.788120605 0.157430392 5
0.7840003 0.151584203 5
0.745237591 0.151032511 5
0.805474119 0.169603261 5
0.781827913 0.161829835 5
0.742444914 0.134682742 5
0.800901494 0.170906167 5
0.779238608 0.151406474 5
0.735809346 0.124549984 5
0.787439178 0.161402907 5
0.778748441 0.166286391 5
0.740475607 0.13898765 5
0.78090756 0.144166399 5
0.767280632 0.150452494 5
0.720324892 0.118373268 5
0.781422986 0.15344115 5
0.778465494 0.139826874 5
0.738329229 0.113355069 5
0.777124518 0.14634019 5
0.777054258 0.150431488 5
0.76048041 0.177137095 5
0.813068 0.187770126 5
0.786696082 0.158402917 5
0.739828978 0.132892513 5
0.791817546 0.163307215 5
0.768675025 0.137570595 5
0.736359802 0.124962558 5
0.795786614 0.172047719 5
0.780272162 0.153869369 5
0.736764836 0.1310561 5
0.788120648 0.152524006 5
0.77329686 0.148047598 5
0.735748703 0.132987441 5
0.787014906 0.16212122 5
0.775379497 0.132031316 5
0.747668798 0.117546154 5
0.795986044 0.16472607 5
0.782620693 0.162570578 5
0.749545332 0.164774963 5
0.786452019 0.160586612 5
0.769453043 0.139676462 5
0.734362123 0.1274598 5
0.803238433 0.180865347 5
0.788377865 0.170170506 5
0.760372278 0.151453304 5
0.787156561 0.136753971 5
0.777415957 0.155722341 5
0.741413358 0.124607565 5
0.788991099 0.160022378 5
0.790991821 0.155961441 5
0.750392609 0.127422789 5
0.795487904 0.165576677 5
0.776644494 0.158174824 5
0.744296779 0.135328324 5
0.792992507 0.147135522 5
0.764894683 0.123940156 5
0.741728664 0.125299232 5
0.781340843 0.141250646 5
0.756485803 0.159400464 5
0.787404721 0.15278719 5
0.786147091 0.13524625 5
0.751759215 0.1391211 5
0.801695154 0.161679617 5
0.777984117 0.155072896 5
0.750621777 0.129696691 5
0.798832139 0.158674628 5
0.787638366 0.145001679 5
0.748387843 0.14047811 5
0.784389535 0.142341642 5
0.786204188 0.184432258 5
0.756066602 0.158834327 5
0.788244387 0.146460617 5
0.772087012 0.141800104 5
0.73916635 0.120891708 5
0.785536959 0.14754259 5
0.781566436 0.125169021 5
0.756872988 0.105554374 5
0.778261348 0.130716522 5
0.784794402 0.14520961 5
0.774158226 0.177042203 5
0.810763277 0.202887878 5
0.792119902 0.170931027 5
0.751899302 0.125969002 5
0.795045927 0.148425143 5
0.777347157 0.145783253 5
0.749287423 0.101921165 5
0.80257052 0.152187268 5
0.783690869 0.162121069 5
0.755436259 0.142011743 5
0.781776535 0.13871826 5
0.785358126 0.157664862 5
0.745287941 0.123537283 5
0.791007828 0.153882024 5
0.774012702 0.107516041 5
0.75914644 0.112000606 5
0.79358715 0.129709032 5
0.788449584 0.141561394 5
0.759838829 0.136835424 5
0.78370401 0.145682354 5
0.775822984 0.128349142 5
0.747222441 0.124751654 5
0.793722933 0.173303471 5
0.797381615 0.166834724 5
0.762016395 0.124804231 5
0.788622851 0.135787081 5
0.784219634 0.156093008 5
0.751537203 0.119488119 5
0.787255257 0.148017951 5
0.797151177 0.157236218 5
0.761083944 0.122470828 5
0.791917837 0.157148732 5
0.782610066 0.162376465 5
0.757083297 0.119525983 5
0.79283503 0.150673747 5
0.770578082 0.104117671 5
0.749333012 0.114264542 5
0.783859951 0.145480414 5
0.756675556 0.166139064 5
0.78469338 0.161911455 5
0.78234964 0.111250178 5
0.750083403 0.125422845 5
0.792910983 0.146943409 5
0.777448245 0.133285928 5
0.748307325 0.119040883 5
0.79301832 0.146143089 5
0.784074809 0.133689791 5
0.749442922 0.114837936 5
0.789220215 0.145005819 5
0.785925644 0.169193167 5
0.756609689 0.170802085 5
0.776135929 0.118990988 5
0.773442586 0.149663006 5
0.748638188 0.119280552 5
0.787877089 0.140964904 5
