x y z
0.910016536 0.681485478 2
0.906675707 0.629251658 2
0.919475051 0.648947774 2
0.920751148 0.686241037 2
0.930590887 0.618382048 2
0.925027215 0.634302913 2
0.928712748 0.704485566 2
0.92754705 0.651663666 2
0.909258558 0.579339359 2
0.905271453 0.623520307 2
0.894651847 0.588130297 2
0.896781862 0.598658496 2
0.895515993 0.645723609 2
0.907827394 0.623042058 2
0.891947221 0.60708784 2
0.897933633 0.657817853 2
0.913225302 0.643444628 2
0.924223264 0.622875153 2
0.921077359 0.667782546 2
0.912669553 0.642538588 2
0.911955466 0.60608605 2
0.920248454 0.654377352 2
0.918729584 0.622259862 2
0.910291447 0.579759224 2
0.898141621 0.590783838 2
0.902419147 0.569486603 2
0.919412522 0.636778024 2
0.924379634 0.677331439 2
0.923279555 0.650190929 2
0.907024371 0.606025317 2
0.90332711 0.641202332 2
0.913002362 0.605724091 2
0.921961658 0.641335348 2
0.910405171 0.646738319 2
0.903723106 0.5958722 2
0.914013291 0.639362656 2
0.912945037 0.67116622 2
0.91753552 0.63899433 2
0.928152739 0.627313413 2
0.933997488 0.686307052 2
0.913104441 0.651519069 2
0.905019637 0.603290621 2
0.91179639 0.658179594 2
0.922477264 0.64028118 2
0.903693013 0.57967015 2
0.914170839 0.631300919 2
0.9153332 0.593944704 2
0.921414455 0.609926458 2
0.920355788 0.660355193 2
0.915125078 0.637170084 2
0.919894691 0.64113445 2
0.914468373 0.684518253 2
0.918815859 0.641715251 2
0.92106241 0.63676956 2
0.91813447 0.656448494 2
0.912099199 0.599068922 2
0.915941146 0.634100379 2
0.921375619 0.676735031 2
0.916571066 0.626434466 2
0.960379407 0.880392447 2
0.961534716 0.831318218 2
0.971405548 0.864713229 2
0.967991294 0.890501671 2
0.981177784 0.852382459 2
0.965189871 0.846875753 2
0.966749523 0.898970439 2
0.972038676 0.838676673 2
0.951611598 0.794143338 2
0.947730167 0.829179749 2
0.947163939 0.786737397 2
0.947417212 0.801650463 2
0.94579026 0.846185565 2
0.962342874 0.836182579 2
0.94577481 0.827374169 2
0.94734803 0.864228882 2
0.962826351 0.84158639 2
0.965112972 0.824597372 2
0.96371795 0.867127491 2
0.965498078 0.845098227 2
0.955023513 0.808416584 2
0.961729629 0.846646597 2
0.962748417 0.814068714 2
0.957163853 0.796103759 2
0.947164886 0.807843531 2
0.956228345 0.784404404 2
0.967575772 0.847011674 2
0.970728182 0.886290463 2
0.973085454 0.84979163 2
0.955590305 0.819295389 2
0.951535817 0.85080568 2
0.963847321 0.809412887 2
0.973274703 0.872570779 2
0.964305695 0.885446462 2
0.961278964 0.809428601 2
0.956599882 0.846015006 2
0.957142946 0.880707946 2
0.970643195 0.84273367 2
0.973494797 0.851759522 2
0.973540265 0.894375156 2
0.967660703 0.851634809 2
0.956544447 0.818249877 2
0.96172818 0.873300159 2
0.970991045 0.832492303 2
